success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,cue,associate,cue_duration,associate_duration,initial_jitter,cue_asso_jitter,key,animacy,style,instruction,instruction_text,prompt,instruction_duration,accurate,question_order,numbers,trial_accuracies,mean_accuracy,exp,subjectId,date
True,fullscreen,0,3858,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
True,preload,1,19756,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,html-keyboard-response,2,65086,0.0-2.0,,,,,45322.0,"
    <p>In this part of the study, you will first see an action verb. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    This may include questions regarding the color or shape of the objects.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""200px"">
    <br>
    Now, you will first do some practice trials. Press the space bar when you are ready to continue.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,encoding-trial,3,76155,0.0-3.0,,,,,,,,modify,/static/for_instructions/object_pics/drawing_bird/heron.jpg,2000.0,7000.0,1490.0273916172202,527.0556376074089,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,encoding-trial,4,87417,0.0-4.0,,,,,,,,sculpt,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,2000.0,7000.0,1128.3795066455464,1105.4153725503377,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,encoding-trial,5,98481,0.0-5.0,,,,,,,,construct,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,2000.0,7000.0,603.2490880742196,1409.7421655725711,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,encoding-trial,6,109489,0.0-6.0,,,,,,,,integrate,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,2000.0,7000.0,1173.3621800874184,795.8512377106224,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,html-keyboard-response,7,231310,0.0-7.0,,,,,121814.0,"
    <p>Great job!
    <br>
    Now you will see an action verb that you were shown earlier. Your job is to bring back to mind the object
    that you imagined being involved with this word and to report information about the object's semantic or visual features.
    <br>
    A question screen presented before the action verb will indicate which feature you are to report on:
    <br>
    ""animate vs. inanimate"" or ""photo vs. drawing"".
    <br>
    Press the left arrow button for animate/photo or the right arrow button for inanimate/drawing.
    <br>
    If you forgot the object associated with the verb, press the down arrow.
    Please respond as quickly as possible, and use your dominant hand to make your responses.
    <br>
    <img src=""/static/instructions_pics/retrieval_pic.png"" height=""350px"">
    <br>When you read the first set of instructions, you may have created a vivid mental image involving the word ""find"" and a drawing of a dog.
    In these examples trials shown above, the correct response for the top row is ""animate"", whereas the correct response for the bottom row is ""drawing"".
    <br>When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,retrieval-trial,8,242278,0.0-8.0,,,,,6842.0,,,modify,/static/for_instructions/object_pics/drawing_bird/heron.jpg,10000.0,,,,arrowright,null,null,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,retrieval-trial,9,252114,0.0-9.0,,,,,6225.0,,,sculpt,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,10000.0,,,,arrowleft,null,null,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,retrieval-trial,10,257914,0.0-10.0,,,,,2000.0,,,construct,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,10000.0,,,,arrowleft,null,null,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,retrieval-trial,11,262322,0.0-11.0,,,,,121.0,,,integrate,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,10000.0,,,,arrowleft,null,null,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,survey-multi-choice,12,311012,0.0-12.0-0.0,,,,,48666.0,,"{'Encoding': 'True', 'EncodingKeys': 'False', 'Retrieval': 'True', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0040,2022-12-08 17:37:12
,survey-multi-choice,13,339327,0.0-12.1-0.1,,,,,21640.0,,"{'Encoding': 'True', 'EncodingKeys': 'True', 'Retrieval': 'True', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0040,2022-12-08 17:37:12
,html-keyboard-response,14,351202,0.0-13.0,,,,,11835.0,"
    <p>Great job! Now you'll continue onto doing the main tasks.
    You will have the opportunity to take brief breaks at various points.
    The instructions will be displayed again before the start of each task, in case you need a refresher.
    Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
True,fullscreen,15,356874,0.0-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,html-keyboard-response,16,374962,0.0-15.0,,,,,18078.0,"
    <p>As you practiced earlier, you will first see an action verb in this part of the study. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""350px"">
    <br>
    Press the space bar when you are ready to start the task.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,encoding-trial,17,385744,0.0-16.0,,,,,,,,drill,/static/object_pics/drawing_sea/jellyfish.jpg,2000.0,7000.0,1178.9022863537568,574.8725523085967,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,encoding-trial,18,396784,0.0-17.0,,,,,,,,adjusted,/static/object_pics/drawing_mammal/kangaroo.jpg,2000.0,7000.0,648.4906193317595,1366.7105328222851,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,encoding-trial,19,407697,0.0-18.0,,,,,,,,circle,/static/object_pics/drawing_bird/duck.jpg,2000.0,7000.0,816.9989188998873,1070.8524132593225,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,encoding-trial,20,418369,0.0-19.0,,,,,,,,forge,/static/object_pics/drawing_mammal/giraffe.jpg,2000.0,7000.0,614.9049841037413,1026.942853664808,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,encoding-trial,21,429602,0.0-20.0,,,,,,,,cross,/static/object_pics/drawing_veggie/potato.jpg,2000.0,7000.0,1007.803929243767,1199.9605540956172,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,encoding-trial,22,440345,0.0-21.0,,,,,,,,peek,/static/object_pics/drawing_clothe/shirt.jpg,2000.0,7000.0,812.7952082371395,896.0140376631864,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,encoding-trial,23,451833,0.0-22.0,,,,,,,,balance,/static/object_pics/picture_electronic/handmixer.jpg,2000.0,7000.0,1000.6011376772932,1459.5830519120252,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,encoding-trial,24,463209,0.0-23.0,,,,,,,,rub,/static/object_pics/picture_electronic/keyboard.jpg,2000.0,7000.0,1285.2462215915266,1056.0677884945046,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,html-keyboard-response,25,469557,0.0-24.0,,,,,6343.0,"
    <p>Now, you will a series of numbers. <br>
    If the number is even, press the left arrow key. <br>
    If the number is odd, press the right arrow key.<br>
    <br>
    When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,number-parity-trial,26,489578,0.0-25.0,,,,,,,"['arrowright', 'arrowleft', 'arrowleft', 'arrowleft', 'arrowright', 'arrowright', 'arrowright', 'arrowright', 'arrowleft', 'arrowleft', 'arrowleft', 'arrowleft', 'arrowleft', 'arrowright', 'arrowleft', 'arrowleft', 'arrowright', 'arrowleft', 'arrowleft']",,,,,,,,,,,,,,,,"[53, 14, 70, 2, 13, 74, 71, 81, 90, 20, 12, 46, 80, 73, 48, 14, 11, 44, 22, 28]","[True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True]",0.9473684210526315,MEM,MEM_0040,2022-12-08 17:37:12
,html-keyboard-response,27,494036,0.0-26.0,,,,,4434.0,"<p>In that last set of trials, you were correct 95% of the time.<br> Press the space bar to continue. </p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,html-keyboard-response,28,529277,0.0-27.0,,,,,35234.0,"
    <br>
    As you practiced earlier, you will now see an action verb that you were shown earlier. Your job is to bring back to mind the object
    that you imagined being involved with this word and to report information about the object's semantic or visual features.
    <br>
    A question screen presented before the action verb will indicate which feature you are to report on:
    <br>
    ""animate vs. inanimate"" or ""photo vs. drawing"".
    <br>
    Press the left arrow button for animate/photo or the right arrow button for inanimate/drawing.
    <br>
    If you forgot the object associated with the verb, press the down arrow.
    Please respond as quickly as possible, and use your dominant hand to make your responses.
    <br>
    <img src=""/static/instructions_pics/retrieval_pic.png"" height=""350px"">
    <br>When you read the first set of instructions, you may have created a vivid mental image involving the word ""find"" and a drawing of a dog.
    In these examples trials shown above, the correct response for the top row is ""animate"", whereas the correct response for the bottom row is ""drawing"".
    <br>When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,retrieval-trial,29,537525,0.0-28.0,,,,,4612.0,,,adjusted,/static/object_pics/drawing_mammal/kangaroo.jpg,10000.0,,,,arrowleft,animate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,retrieval-trial,30,544140,0.0-29.0,,,,,2842.0,,,balance,/static/object_pics/picture_electronic/handmixer.jpg,10000.0,,,,arrowleft,inanimate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,retrieval-trial,31,551150,0.0-30.0,,,,,2620.0,,,peek,/static/object_pics/drawing_clothe/shirt.jpg,10000.0,,,,arrowright,inanimate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0040,2022-12-08 17:37:12
,retrieval-trial,32,556901,0.0-31.0,,,,,1451.0,,,circle,/static/object_pics/drawing_bird/duck.jpg,10000.0,,,,arrowleft,animate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0040,2022-12-08 17:37:12
