,img,instruction,block_n,animacy,style,img_name,verb
0,/static/object_pics/drawing_veggie/pumpkin.jpg,semantic,0,inanimate,drawing,pumpkin.jpg,hammer
1,/static/object_pics/picture_sea/shark.jpg,perceptual,0,animate,photo,shark.jpg,drill
2,/static/object_pics/drawing_mammal/rabbit.jpg,semantic,0,animate,drawing,rabbit.jpg,cover
3,/static/object_pics/picture_insect/butterfly.jpg,perceptual,0,animate,photo,butterfly.jpg,walk
4,/static/object_pics/drawing_veggie/carrots.jpg,perceptual,0,inanimate,drawing,carrots.jpg,arrange
5,/static/object_pics/drawing_sea/eel.jpg,semantic,0,animate,drawing,eel.jpg,punch
6,/static/object_pics/drawing_clothe/dress.jpg,perceptual,0,inanimate,drawing,dress.jpg,jump
7,/static/object_pics/picture_clothe/high heels.jpg,semantic,0,inanimate,photo,high heels.jpg,swing
8,/static/object_pics/drawing_veggie/pumpkin.jpg,perceptual,0,inanimate,drawing,pumpkin.jpg,hammer
9,/static/object_pics/drawing_mammal/rabbit.jpg,perceptual,0,animate,drawing,rabbit.jpg,cover
10,/static/object_pics/picture_insect/butterfly.jpg,semantic,0,animate,photo,butterfly.jpg,walk
11,/static/object_pics/drawing_clothe/dress.jpg,semantic,0,inanimate,drawing,dress.jpg,jump
12,/static/object_pics/picture_sea/shark.jpg,semantic,0,animate,photo,shark.jpg,drill
13,/static/object_pics/drawing_veggie/carrots.jpg,semantic,0,inanimate,drawing,carrots.jpg,arrange
14,/static/object_pics/picture_clothe/high heels.jpg,perceptual,0,inanimate,photo,high heels.jpg,swing
15,/static/object_pics/drawing_sea/eel.jpg,perceptual,0,animate,drawing,eel.jpg,punch
16,/static/object_pics/drawing_veggie/artichoke.jpg,semantic,1,inanimate,drawing,artichoke.jpg,hold
17,/static/object_pics/picture_clothe/bowtie.jpg,perceptual,1,inanimate,photo,bowtie.jpg,identify
18,/static/object_pics/picture_electronic/hairdryer.jpg,perceptual,1,inanimate,photo,hairdryer.jpg,fade
19,/static/object_pics/picture_fruit/grapes.jpg,perceptual,1,inanimate,photo,grapes.jpg,fold
20,/static/object_pics/picture_sea/seahorse.jpg,semantic,1,animate,photo,seahorse.jpg,pull
21,/static/object_pics/drawing_sea/octopus.jpg,semantic,1,animate,drawing,octopus.jpg,wipe
22,/static/object_pics/drawing_mammal/rhinoceros.jpg,semantic,1,animate,drawing,rhinoceros.jpg,grind
23,/static/object_pics/drawing_clothe/football sneaker.jpg,perceptual,1,inanimate,drawing,football sneaker.jpg,rub
24,/static/object_pics/picture_fruit/grapes.jpg,semantic,1,inanimate,photo,grapes.jpg,fold
25,/static/object_pics/picture_sea/seahorse.jpg,perceptual,1,animate,photo,seahorse.jpg,pull
26,/static/object_pics/drawing_sea/octopus.jpg,perceptual,1,animate,drawing,octopus.jpg,wipe
