success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,cue,associate,cue_duration,associate_duration,initial_jitter,cue_asso_jitter,key,animacy,style,instruction,instruction_text,prompt,instruction_duration,accurate,question_order,numbers,trial_accuracies,mean_accuracy,exp,subjectId,date
True,fullscreen,0,2499,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0020,2022-12-08 04:09:03
True,preload,1,112956,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,html-keyboard-response,2,227013,0.0-2.0,,,,,114055.0,"
    <p>In this part of the study, you will first see an action verb. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    This may include questions regarding the color or shape of the objects.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""200px"">
    <br>
    Now, you will first do some practice trials. Press the space bar when you are ready to continue.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,encoding-trial,3,237161,0.0-3.0,,,,,,,,modify,/static/for_instructions/object_pics/drawing_bird/heron.jpg,2000.0,7000.0,500.74175753739826,604.1442584435972,,,,,,,,,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,encoding-trial,4,248812,0.0-4.0,,,,,6995.0,,,sculpt,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,2000.0,7000.0,1318.078255259371,1314.3704066720884, ,,,,,,,,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,encoding-trial,5,258795,0.0-5.0,,,,,5827.0,,,construct,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,2000.0,7000.0,661.7576072457416,1454.358583903307, ,,,,,,,,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,encoding-trial,6,269435,0.0-6.0,,,,,6433.0,,,integrate,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,2000.0,7000.0,1095.2197636217304,1070.4618684130005, ,,,,,,,,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,html-keyboard-response,7,353100,0.0-7.0,,,,,83662.0,"
    <p>Great job!
    <br>
    Now you will see an action verb that you were shown earlier. Your job is to bring back to mind the object
    that you imagined being involved with this word and to report information about the object's semantic or visual features.
    <br>
    A question screen presented before the action verb will indicate which feature you are to report on:
    <br>
    ""animate vs. inanimate"" or ""photo vs. drawing"".
    <br>
    Press the left arrow button for animate/photo or the right arrow button for inanimate/drawing.
    <br>
    If you forgot the object associated with the verb, press the down arrow.
    Please respond as quickly as possible, and use your dominant hand to make your responses.
    <br>
    <img src=""/static/instructions_pics/retrieval_pic.png"" height=""350px"">
    <br>When you read the first set of instructions, you may have created a vivid mental image involving the word ""find"" and a drawing of a dog.
    In these examples trials shown above, the correct response for the top row is ""animate"", whereas the correct response for the bottom row is ""drawing"".
    <br>When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,retrieval-trial,8,367555,0.0-8.0,,,,,,,,modify,/static/for_instructions/object_pics/drawing_bird/heron.jpg,10000.0,,,,,null,null,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,retrieval-trial,9,373515,0.0-9.0,,,,,1593.0,,,sculpt,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,10000.0,,,,arrowright,null,null,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,retrieval-trial,10,381844,0.0-10.0,,,,,4805.0,,,construct,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,10000.0,,,,arrowright,null,null,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,retrieval-trial,11,388012,0.0-11.0,,,,,2281.0,,,integrate,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,10000.0,,,,arrowright,null,null,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,survey-multi-choice,12,428607,0.0-12.0-0.0,,,,,40588.0,,"{'Encoding': 'True', 'EncodingKeys': 'True', 'Retrieval': 'True', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0020,2022-12-08 04:09:03
,html-keyboard-response,13,433596,0.0-13.0,,,,,4984.0,"
    <p>Great job! Now you'll continue onto doing the main tasks.
    You will have the opportunity to take brief breaks at various points.
    The instructions will be displayed again before the start of each task, in case you need a refresher.
    Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0020,2022-12-08 04:09:03
True,fullscreen,14,436722,0.0-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,html-keyboard-response,15,441276,0.0-15.0,,,,,4551.0,"
    <p>As you practiced earlier, you will first see an action verb in this part of the study. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""350px"">
    <br>
    Press the space bar when you are ready to start the task.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0020,2022-12-08 04:09:03
,encoding-trial,16,450989,0.0-16.0,,,,,5816.0,,,peek,/static/object_pics/picture_mammal/bison.jpg,2000.0,7000.0,696.325114944383,1167.7964664702413, ,,,,,,,,,,,,MEM,MEM_0020,2022-12-08 04:09:03
