success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,cue,associate,cue_duration,associate_duration,initial_jitter,cue_asso_jitter,key,animacy,style,instruction,instruction_text,prompt,instruction_duration,accurate,question_order,numbers,trial_accuracies,mean_accuracy,exp,subjectId,date
True,fullscreen,0,4489,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0022,2022-12-08 04:35:34
True,preload,1,16018,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0022,2022-12-08 04:35:34
,html-keyboard-response,2,2287312,0.0-2.0,,,,,451504.0,"
    <p>In this part of the study, you will first see an action verb. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    This may include questions regarding the color or shape of the objects.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""200px"">
    <br>
    Now, you will first do some practice trials. Press the space bar when you are ready to continue.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0022,2022-12-08 04:35:34
,encoding-trial,3,2298021,0.0-3.0,,,,,,,,modify,/static/for_instructions/object_pics/drawing_bird/heron.jpg,2000.0,7000.0,1022.0327100148214,675.8157850949917,,,,,,,,,,,,,MEM,MEM_0022,2022-12-08 04:35:34
,encoding-trial,4,2308342,0.0-4.0,,,,,,,,sculpt,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,2000.0,7000.0,800.434576479798,509.3794332597421,,,,,,,,,,,,,MEM,MEM_0022,2022-12-08 04:35:34
,encoding-trial,5,2319383,0.0-5.0,,,,,,,,construct,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,2000.0,7000.0,1002.0437007956375,1028.264644496204,,,,,,,,,,,,,MEM,MEM_0022,2022-12-08 04:35:34
,encoding-trial,6,2329884,0.0-6.0,,,,,,,,integrate,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,2000.0,7000.0,685.5409335224339,800.2865186936228,,,,,,,,,,,,,MEM,MEM_0022,2022-12-08 04:35:34
,html-keyboard-response,7,2422785,0.0-7.0,,,,,92897.0,"
    <p>Great job!
    <br>
    Now you will see an action verb that you were shown earlier. Your job is to bring back to mind the object
    that you imagined being involved with this word and to report information about the object's semantic or visual features.
    <br>
    A question screen presented before the action verb will indicate which feature you are to report on:
    <br>
    ""animate vs. inanimate"" or ""photo vs. drawing"".
    <br>
    Press the left arrow button for animate/photo or the right arrow button for inanimate/drawing.
    <br>
    If you forgot the object associated with the verb, press the down arrow.
    Please respond as quickly as possible, and use your dominant hand to make your responses.
    <br>
    <img src=""/static/instructions_pics/retrieval_pic.png"" height=""350px"">
    <br>When you read the first set of instructions, you may have created a vivid mental image involving the word ""find"" and a drawing of a dog.
    In these examples trials shown above, the correct response for the top row is ""animate"", whereas the correct response for the bottom row is ""drawing"".
    <br>When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0022,2022-12-08 04:35:34
,retrieval-trial,8,2433297,0.0-8.0,,,,,6258.0,,,modify,/static/for_instructions/object_pics/drawing_bird/heron.jpg,10000.0,,,,arrowright,null,null,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0022,2022-12-08 04:35:34
,retrieval-trial,9,2440265,0.0-9.0,,,,,3443.0,,,sculpt,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,10000.0,,,,arrowleft,null,null,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0022,2022-12-08 04:35:34
