success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,key,instruction,instruction_class,instruction_duration,prompt,object,object_duration,animacy,style,jitter,accurate,question_order,exp,subjectId,date
True,fullscreen,0,4065,0.0-0.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0067,2022-12-08 22:11:08
True,preload,1,22837,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,MEM,MEM_0067,2022-12-08 22:11:08
,html-keyboard-response,2,66956,0.0-2.0,,,,,44115.0,"
      <p>In this task, you will see a series of objects. On some trials, your job is to determine
      whether the object shown is a color photograph or a line drawing. On other trials, your job
      is to determine whether the object represented is animate or inanimate.

      <br><br>
      You will know which response to make depending on the initial display, which will say
      ""animate / inanimate"" or ""photo / drawing"".
      <br>
      <br>
      You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
      <br>
      Please respond as quickly as possible, and use your dominant hand to make your responses.
      <br><br>
      <img src=""/static/instructions_pics/visual_pic.png"" height=""300px"">
      <br>
      In the example in the top row, the correct response is animate (left arrow key). In the example in the bottom row, the correct response is photo (left arrow key).
      <br>
      <br>You will first do some practice trials. When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,3,73369,0.0-3.0,,,,,2824.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_bird/heron.jpg,7000.0,animate,drawing,582.7909541589261,True,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,4,79315,0.0-4.0,,,,,1890.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,7000.0,inanimate,photo,1040.4043224359887,True,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,5,85906,0.0-5.0,,,,,2969.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,7000.0,inanimate,drawing,607.7436827824922,True,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,6,93795,0.0-6.0,,,,,3561.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,7000.0,inanimate,photo,1320.0182021502753,True,,MEM,MEM_0067,2022-12-08 22:11:08
,survey-multi-choice,7,118492,0.0-7.0-0.0,,,,,24692.0,,"{'Style': 'True', 'Animacy': 'True'}",,,,,,,,,,,,"[0, 1]",MEM,MEM_0067,2022-12-08 22:11:08
,html-keyboard-response,8,121617,0.0-8.0,,,,,3121.0,"
      <p>Great job! Now you'll continue onto doing the main task.
      You will have the opportunity to take brief breaks at various points.
      Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,MEM,MEM_0067,2022-12-08 22:11:08
True,fullscreen,9,124720,0.0-9.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,10,134298,0.0-10.0,,,,,5184.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_sea/killer whale.jpg,7000.0,animate,photo,1382.755895853839,False,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,11,140114,0.0-11.0,,,,,1473.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_clothe/shirt.jpg,7000.0,inanimate,photo,1328.7584652305723,True,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,12,146019,0.0-12.0,,,,,2114.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_bird/flamingo.jpg,7000.0,animate,drawing,776.818925064231,False,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,13,151330,0.0-13.0,,,,,912.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_sea/seaturtle.jpg,7000.0,animate,photo,1394.9258885942063,True,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,14,157922,0.0-14.0,,,,,2753.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_mammal/camel.jpg,7000.0,animate,photo,823.9496877254892,True,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,15,163506,0.0-15.0,,,,,2010.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_electronic/radio.jpg,7000.0,inanimate,drawing,558.2456258688749,True,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,16,169387,0.0-16.0,,,,,2129.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_sea/crab.jpg,7000.0,animate,photo,737.0397302620283,True,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,17,176010,0.0-17.0,,,,,2857.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_mammal/lion.jpg,7000.0,animate,photo,752.1732388012798,True,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,18,180491,0.0-18.0,,,,,817.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_electronic/gamepad.jpg,7000.0,inanimate,drawing,651.8241590765865,True,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,19,185465,0.0-19.0,,,,,952.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_mammal/bull.jpg,7000.0,animate,photo,1006.6064483896236,True,,MEM,MEM_0067,2022-12-08 22:11:08
,visual-trial,20,190746,0.0-20.0,,,,,1745.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_veggie/garlic.jpg,7000.0,inanimate,drawing,523.0128329885677,True,,MEM,MEM_0067,2022-12-08 22:11:08
