success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,key,instruction,instruction_class,instruction_duration,prompt,object,object_duration,animacy,style,jitter,accurate,question_order,exp,subjectId,date
True,fullscreen,0,283919,0.0-0.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0074,2022-12-08 22:30:33
True,preload,1,288062,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,MEM,MEM_0074,2022-12-08 22:30:33
,html-keyboard-response,2,397626,0.0-2.0,,,,,109562.0,"
      <p>In this task, you will see a series of objects. On some trials, your job is to determine
      whether the object shown is a color photograph or a line drawing. On other trials, your job
      is to determine whether the object represented is animate or inanimate.

      <br><br>
      You will know which response to make depending on the initial display, which will say
      ""animate / inanimate"" or ""photo / drawing"".
      <br>
      <br>
      You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
      <br>
      Please respond as quickly as possible, and use your dominant hand to make your responses.
      <br><br>
      <img src=""/static/instructions_pics/visual_pic.png"" height=""300px"">
      <br>
      In the example in the top row, the correct response is animate (left arrow key). In the example in the bottom row, the correct response is photo (left arrow key).
      <br>
      <br>You will first do some practice trials. When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,MEM,MEM_0074,2022-12-08 22:30:33
,visual-trial,3,404467,0.0-3.0,,,,,2819.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_bird/heron.jpg,7000.0,animate,drawing,1005.7360074788669,True,,MEM,MEM_0074,2022-12-08 22:30:33
,visual-trial,4,409054,0.0-4.0,,,,,871.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,7000.0,inanimate,photo,705.2718328653153,True,,MEM,MEM_0074,2022-12-08 22:30:33
,visual-trial,5,414471,0.0-5.0,,,,,1152.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,7000.0,inanimate,drawing,1248.2943583367587,True,,MEM,MEM_0074,2022-12-08 22:30:33
,visual-trial,6,419362,0.0-6.0,,,,,763.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,7000.0,inanimate,photo,1111.0420336218317,True,,MEM,MEM_0074,2022-12-08 22:30:33
,survey-multi-choice,7,426865,0.0-7.0-0.0,,,,,7500.0,,"{'Style': 'True', 'Animacy': 'True'}",,,,,,,,,,,,"[0, 1]",MEM,MEM_0074,2022-12-08 22:30:33
,html-keyboard-response,8,429288,0.0-8.0,,,,,2415.0,"
      <p>Great job! Now you'll continue onto doing the main task.
      You will have the opportunity to take brief breaks at various points.
      Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,MEM,MEM_0074,2022-12-08 22:30:33
True,fullscreen,9,432046,0.0-9.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0074,2022-12-08 22:30:33
,visual-trial,10,438426,0.0-10.0,,,,,2859.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_insect/cockroach.jpg,7000.0,animate,photo,508.3320298570415,True,,MEM,MEM_0074,2022-12-08 22:30:33
,visual-trial,11,443163,0.0-11.0,,,,,876.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_insect/mosquito.jpg,7000.0,animate,photo,845.4700439464968,True,,MEM,MEM_0074,2022-12-08 22:30:33
,visual-trial,12,447710,0.0-12.0,,,,,927.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_insect/snail.jpg,7000.0,animate,photo,608.9999981740308,True,,MEM,MEM_0074,2022-12-08 22:30:33
,visual-trial,13,453536,0.0-13.0,,,,,1360.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_clothe/hat.jpg,7000.0,inanimate,photo,1447.8592505639913,True,,MEM,MEM_0074,2022-12-08 22:30:33
,visual-trial,14,458593,0.0-14.0,,,,,1153.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_veggie/lettuce.jpg,7000.0,inanimate,photo,890.4816558195166,True,,MEM,MEM_0074,2022-12-08 22:30:33
,visual-trial,15,463504,0.0-15.0,,,,,1049.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_veggie/tomato.jpg,7000.0,inanimate,photo,854.3110843240052,True,,MEM,MEM_0074,2022-12-08 22:30:33
