success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,instruction,instruction_class,instruction_duration,prompt,object,object_duration,animacy,style,jitter,accurate,key,question_order,exp,subjectId,date
True,fullscreen,0,5703,0.0-0.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0070,2022-12-08 22:16:42
True,preload,1,10076,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,MEM,MEM_0070,2022-12-08 22:16:42
,html-keyboard-response,2,58964,0.0-2.0,,,,,48888.0,"
      <p>In this task, you will see a series of objects. On some trials, your job is to determine
      whether the object shown is a color photograph or a line drawing. On other trials, your job
      is to determine whether the object represented is animate or inanimate.

      <br><br>
      You will know which response to make depending on the initial display, which will say
      ""animate / inanimate"" or ""photo / drawing"".
      <br>
      <br>
      You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
      <br>
      Please respond as quickly as possible, and use your dominant hand to make your responses.
      <br><br>
      <img src=""/static/instructions_pics/visual_pic.png"" height=""300px"">
      <br>
      In the example in the top row, the correct response is animate (left arrow key). In the example in the bottom row, the correct response is photo (left arrow key).
      <br>
      <br>You will first do some practice trials. When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,MEM,MEM_0070,2022-12-08 22:16:42
,visual-trial,3,70375,0.0-3.0,,,,,,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_bird/heron.jpg,7000.0,animate,drawing,1384.7599114539366,False,,,MEM,MEM_0070,2022-12-08 22:16:42
,visual-trial,4,81017,0.0-4.0,,,,,,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,7000.0,inanimate,photo,615.2598040279296,False,,,MEM,MEM_0070,2022-12-08 22:16:42
,visual-trial,5,87518,0.0-5.0,,,,,2231.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,7000.0,inanimate,drawing,1252.0366010631747,True,arrowright,,MEM,MEM_0070,2022-12-08 22:16:42
,visual-trial,6,92994,0.0-6.0,,,,,1499.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,7000.0,inanimate,photo,964.2977322665389,True,arrowleft,,MEM,MEM_0070,2022-12-08 22:16:42
,survey-multi-choice,7,104783,0.0-7.0-0.0,,,,,11787.0,,"{'Style': 'True', 'Animacy': 'True'}",,,,,,,,,,,,"[0, 1]",MEM,MEM_0070,2022-12-08 22:16:42
,html-keyboard-response,8,111211,0.0-8.0,,,,,6422.0,"
      <p>Great job! Now you'll continue onto doing the main task.
      You will have the opportunity to take brief breaks at various points.
      Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,MEM,MEM_0070,2022-12-08 22:16:42
True,fullscreen,9,116536,0.0-9.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0070,2022-12-08 22:16:42
,visual-trial,10,122821,0.0-10.0,,,,,1910.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_veggie/pepper.jpg,7000.0,inanimate,drawing,1362.6109857814781,True,arrowright,,MEM,MEM_0070,2022-12-08 22:16:42
,visual-trial,11,127740,0.0-11.0,,,,,1333.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_fruit/pomegranate.jpg,7000.0,inanimate,photo,562.5888975585251,True,arrowleft,,MEM,MEM_0070,2022-12-08 22:16:42
,visual-trial,12,132996,0.0-12.0,,,,,1604.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_clothe/scarf.jpg,7000.0,inanimate,photo,638.3712216009774,False,arrowleft,,MEM,MEM_0070,2022-12-08 22:16:42
,visual-trial,13,137669,0.0-13.0,,,,,1142.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_bird/hummingbird.jpg,7000.0,animate,drawing,506.9848534772308,False,arrowright,,MEM,MEM_0070,2022-12-08 22:16:42
,visual-trial,14,143408,0.0-14.0,,,,,1408.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_insect/centipede.jpg,7000.0,animate,drawing,1313.746803884307,True,arrowleft,,MEM,MEM_0070,2022-12-08 22:16:42
,visual-trial,15,148531,0.0-15.0,,,,,1509.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_fruit/apricot.jpg,7000.0,inanimate,photo,602.8724665771315,True,arrowleft,,MEM,MEM_0070,2022-12-08 22:16:42
,visual-trial,16,154059,0.0-16.0,,,,,1244.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_sea/shrimp.jpg,7000.0,animate,photo,1271.1947036024,True,arrowleft,,MEM,MEM_0070,2022-12-08 22:16:42
,visual-trial,17,159328,0.0-17.0,,,,,985.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_mammal/gorilla.jpg,7000.0,animate,photo,1273.5071299760111,True,arrowleft,,MEM,MEM_0070,2022-12-08 22:16:42
