success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,cue,associate,cue_duration,associate_duration,initial_jitter,cue_asso_jitter,key,animacy,style,instruction,instruction_text,prompt,instruction_duration,accurate,question_order,numbers,trial_accuracies,mean_accuracy,exp,subjectId,date
True,fullscreen,0,2572,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0031,2022-12-08 05:03:48
True,preload,1,10034,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0031,2022-12-08 05:03:48
,html-keyboard-response,2,36543,0.0-2.0,,,,,26508.0,"
    <p>In this part of the study, you will first see an action verb. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    This may include questions regarding the color or shape of the objects.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""200px"">
    <br>
    Now, you will first do some practice trials. Press the space bar when you are ready to continue.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0031,2022-12-08 05:03:48
,encoding-trial,3,47540,0.0-3.0,,,,,,,,modify,/static/for_instructions/object_pics/drawing_bird/heron.jpg,2000.0,7000.0,1101.2258970599423,872.9310925115101,,,,,,,,,,,,,MEM,MEM_0031,2022-12-08 05:03:48
,encoding-trial,4,58269,0.0-4.0,,,,,,,,sculpt,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,2000.0,7000.0,986.8606003931284,715.5674793574733,,,,,,,,,,,,,MEM,MEM_0031,2022-12-08 05:03:48
,encoding-trial,5,69324,0.0-5.0,,,,,,,,construct,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,2000.0,7000.0,674.1530183224168,1341.9511076939632,,,,,,,,,,,,,MEM,MEM_0031,2022-12-08 05:03:48
,encoding-trial,6,80492,0.0-6.0,,,,,,,,integrate,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,2000.0,7000.0,1284.0196134833272,856.2115747758471,,,,,,,,,,,,,MEM,MEM_0031,2022-12-08 05:03:48
,html-keyboard-response,7,164549,0.0-7.0,,,,,84056.0,"
    <p>Great job!
    <br>
    Now you will see an action verb that you were shown earlier. Your job is to bring back to mind the object
    that you imagined being involved with this word and to report information about the object's semantic or visual features.
    <br>
    A question screen presented before the action verb will indicate which feature you are to report on:
    <br>
    ""animate vs. inanimate"" or ""photo vs. drawing"".
    <br>
    Press the left arrow button for animate/photo or the right arrow button for inanimate/drawing.
    <br>
    If you forgot the object associated with the verb, press the down arrow.
    Please respond as quickly as possible, and use your dominant hand to make your responses.
    <br>
    <img src=""/static/instructions_pics/retrieval_pic.png"" height=""350px"">
    <br>When you read the first set of instructions, you may have created a vivid mental image involving the word ""find"" and a drawing of a dog.
    In these examples trials shown above, the correct response for the top row is ""animate"", whereas the correct response for the bottom row is ""drawing"".
    <br>When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0031,2022-12-08 05:03:48
,retrieval-trial,8,178028,0.0-8.0,,,,,9303.0,,,modify,/static/for_instructions/object_pics/drawing_bird/heron.jpg,10000.0,,,,arrowleft,null,null,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0031,2022-12-08 05:03:48
,retrieval-trial,9,189667,0.0-9.0,,,,,7583.0,,,sculpt,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,10000.0,,,,arrowleft,null,null,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0031,2022-12-08 05:03:48
,retrieval-trial,10,199840,0.0-10.0,,,,,5971.0,,,construct,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,10000.0,,,,arrowright,null,null,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0031,2022-12-08 05:03:48
,retrieval-trial,11,207859,0.0-11.0,,,,,4026.0,,,integrate,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,10000.0,,,,arrowleft,null,null,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0031,2022-12-08 05:03:48
,survey-multi-choice,12,241671,0.0-12.0-0.0,,,,,33812.0,,"{'Encoding': 'True', 'EncodingKeys': 'False', 'Retrieval': 'True', 'RetrievalKeys': 'False'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0031,2022-12-08 05:03:48
,survey-multi-choice,13,254132,0.0-12.1-0.1,,,,,10421.0,,"{'Encoding': 'True', 'EncodingKeys': 'False', 'Retrieval': 'True', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0031,2022-12-08 05:03:48
,survey-multi-choice,14,261617,0.0-12.2-0.2,,,,,6219.0,,"{'Encoding': 'True', 'EncodingKeys': 'True', 'Retrieval': 'True', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0031,2022-12-08 05:03:48
,html-keyboard-response,15,273416,0.0-13.0,,,,,11797.0,"
    <p>Great job! Now you'll continue onto doing the main tasks.
    You will have the opportunity to take brief breaks at various points.
    The instructions will be displayed again before the start of each task, in case you need a refresher.
    Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0031,2022-12-08 05:03:48
True,fullscreen,16,276020,0.0-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0031,2022-12-08 05:03:48
,html-keyboard-response,17,291845,0.0-15.0,,,,,15824.0,"
    <p>As you practiced earlier, you will first see an action verb in this part of the study. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""350px"">
    <br>
    Press the space bar when you are ready to start the task.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0031,2022-12-08 05:03:48
