success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,key,instruction,instruction_class,instruction_duration,prompt,object,object_duration,animacy,style,jitter,accurate,question_order,exp,subjectId,date
True,fullscreen,0,4847,0.0-0.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0068,2022-12-08 22:14:12
True,preload,1,10958,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,MEM,MEM_0068,2022-12-08 22:14:12
,html-keyboard-response,2,80504,0.0-2.0,,,,,69546.0,"
      <p>In this task, you will see a series of objects. On some trials, your job is to determine
      whether the object shown is a color photograph or a line drawing. On other trials, your job
      is to determine whether the object represented is animate or inanimate.

      <br><br>
      You will know which response to make depending on the initial display, which will say
      ""animate / inanimate"" or ""photo / drawing"".
      <br>
      <br>
      You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
      <br>
      Please respond as quickly as possible, and use your dominant hand to make your responses.
      <br><br>
      <img src=""/static/instructions_pics/visual_pic.png"" height=""300px"">
      <br>
      In the example in the top row, the correct response is animate (left arrow key). In the example in the bottom row, the correct response is photo (left arrow key).
      <br>
      <br>You will first do some practice trials. When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,MEM,MEM_0068,2022-12-08 22:14:12
,visual-trial,3,86575,0.0-3.0,,,,,2434.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_bird/heron.jpg,7000.0,animate,drawing,626.7841165572538,False,,MEM,MEM_0068,2022-12-08 22:14:12
,visual-trial,4,91155,0.0-4.0,,,,,872.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,7000.0,inanimate,photo,698.6107722081805,True,,MEM,MEM_0068,2022-12-08 22:14:12
,visual-trial,5,96233,0.0-5.0,,,,,1220.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,7000.0,inanimate,drawing,850.4218212801546,True,,MEM,MEM_0068,2022-12-08 22:14:12
,visual-trial,6,101941,0.0-6.0,,,,,1389.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,7000.0,inanimate,photo,1308.4481533648618,True,,MEM,MEM_0068,2022-12-08 22:14:12
,survey-multi-choice,7,107376,0.0-7.0-0.0,,,,,5423.0,,"{'Style': 'True', 'Animacy': 'True'}",,,,,,,,,,,,"[0, 1]",MEM,MEM_0068,2022-12-08 22:14:12
,html-keyboard-response,8,109869,0.0-8.0,,,,,2486.0,"
      <p>Great job! Now you'll continue onto doing the main task.
      You will have the opportunity to take brief breaks at various points.
      Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,MEM,MEM_0068,2022-12-08 22:14:12
True,fullscreen,9,113978,0.0-9.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0068,2022-12-08 22:14:12
,visual-trial,10,119646,0.0-10.0,,,,,1552.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_sea/piranha.jpg,7000.0,animate,drawing,1104.9418512820375,True,,MEM,MEM_0068,2022-12-08 22:14:12
,visual-trial,11,125187,0.0-11.0,,,,,1045.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_mammal/bear.jpg,7000.0,animate,photo,1486.40735851602,True,,MEM,MEM_0068,2022-12-08 22:14:12
,visual-trial,12,130031,0.0-12.0,,,,,1070.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_insect/centipede.jpg,7000.0,animate,drawing,763.1704979710183,True,,MEM,MEM_0068,2022-12-08 22:14:12
,visual-trial,13,135118,0.0-13.0,,,,,1280.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_insect/scorpion.jpg,7000.0,animate,drawing,799.55481898984,True,,MEM,MEM_0068,2022-12-08 22:14:12
,visual-trial,14,140259,0.0-14.0,,,,,970.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_sea/dolphin.jpg,7000.0,animate,drawing,1163.34279166842,True,,MEM,MEM_0068,2022-12-08 22:14:12
,visual-trial,15,145234,0.0-15.0,,,,,1202.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_electronic/keyboard.jpg,7000.0,inanimate,drawing,764.603692460081,True,,MEM,MEM_0068,2022-12-08 22:14:12
,visual-trial,16,150734,0.0-16.0,,,,,1306.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_sea/killer whale.jpg,7000.0,animate,drawing,1186.235102709671,True,,MEM,MEM_0068,2022-12-08 22:14:12
