success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,key,instruction,instruction_class,instruction_duration,prompt,object,object_duration,animacy,style,jitter,accurate,question_order,exp,subjectId,date
True,fullscreen,0,3674,0.0-0.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0081,2022-12-08 23:30:04
True,preload,1,5987,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,MEM,MEM_0081,2022-12-08 23:30:04
,html-keyboard-response,2,146451,0.0-2.0,,,,,140342.0,"
      <p>In this task, you will see a series of objects. On some trials, your job is to determine
      whether the object shown is a color photograph or a line drawing. On other trials, your job
      is to determine whether the object represented is animate or inanimate.

      <br><br>
      You will know which response to make depending on the initial display, which will say
      ""animate / inanimate"" or ""photo / drawing"".
      <br>
      <br>
      You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
      <br>
      Please respond as quickly as possible, and use your dominant hand to make your responses.
      <br><br>
      <img src=""/static/instructions_pics/visual_pic.png"" height=""300px"">
      <br>
      In the example in the top row, the correct response is animate (left arrow key). In the example in the bottom row, the correct response is photo (left arrow key).
      <br>
      <br>You will first do some practice trials. When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,MEM,MEM_0081,2022-12-08 23:30:04
,visual-trial,3,152593,0.0-3.0,,,,,1886.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_bird/heron.jpg,7000.0,animate,drawing,1254.8943693312403,True,,MEM,MEM_0081,2022-12-08 23:30:04
,visual-trial,4,157532,0.0-4.0,,,,,896.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,7000.0,inanimate,photo,1042.8408493483948,True,,MEM,MEM_0081,2022-12-08 23:30:04
,visual-trial,5,163504,0.0-5.0,,,,,1659.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,7000.0,inanimate,drawing,1312.8510246178494,True,,MEM,MEM_0081,2022-12-08 23:30:04
,visual-trial,6,168117,0.0-6.0,,,,,795.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,7000.0,inanimate,photo,816.7886789772344,True,,MEM,MEM_0081,2022-12-08 23:30:04
,survey-multi-choice,7,173326,0.0-7.0-0.0,,,,,5208.0,,"{'Style': 'True', 'Animacy': 'True'}",,,,,,,,,,,,"[0, 1]",MEM,MEM_0081,2022-12-08 23:30:04
,html-keyboard-response,8,175293,0.0-8.0,,,,,1965.0,"
      <p>Great job! Now you'll continue onto doing the main task.
      You will have the opportunity to take brief breaks at various points.
      Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,MEM,MEM_0081,2022-12-08 23:30:04
True,fullscreen,9,178116,0.0-9.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0081,2022-12-08 23:30:04
