success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,key,instruction,instruction_class,instruction_duration,prompt,object,object_duration,animacy,style,jitter,accurate,question_order,exp,subjectId,date
True,fullscreen,0,3967,0.0-0.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0063,2022-12-08 22:04:16
True,preload,1,45968,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,MEM,MEM_0063,2022-12-08 22:04:16
,html-keyboard-response,2,93105,0.0-2.0,,,,,47134.0,"
      <p>In this task, you will see a series of objects. On some trials, your job is to determine
      whether the object shown is a color photograph or a line drawing. On other trials, your job
      is to determine whether the object represented is animate or inanimate.

      <br><br>
      You will know which response to make depending on the initial display, which will say
      ""animate / inanimate"" or ""photo / drawing"".
      <br>
      <br>
      You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
      <br>
      Please respond as quickly as possible, and use your dominant hand to make your responses.
      <br><br>
      <img src=""/static/instructions_pics/visual_pic.png"" height=""300px"">
      <br>
      In the example in the top row, the correct response is animate (left arrow key). In the example in the bottom row, the correct response is photo (left arrow key).
      <br>
      <br>You will first do some practice trials. When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,MEM,MEM_0063,2022-12-08 22:04:16
,visual-trial,3,98573,0.0-3.0,,,,,1631.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_bird/heron.jpg,7000.0,animate,drawing,811.1610219860413,False,,MEM,MEM_0063,2022-12-08 22:04:16
,visual-trial,4,104221,0.0-4.0,,,,,1313.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,7000.0,inanimate,photo,1325.0508526397855,True,,MEM,MEM_0063,2022-12-08 22:04:16
,visual-trial,5,109646,0.0-5.0,,,,,1290.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,7000.0,inanimate,drawing,1116.564744916529,True,,MEM,MEM_0063,2022-12-08 22:04:16
,visual-trial,6,116974,0.0-6.0,,,,,3210.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,7000.0,inanimate,photo,1099.5225597415924,True,,MEM,MEM_0063,2022-12-08 22:04:16
,survey-multi-choice,7,128900,0.0-7.0-0.0,,,,,11922.0,,"{'Style': 'True', 'Animacy': 'True'}",,,,,,,,,,,,"[0, 1]",MEM,MEM_0063,2022-12-08 22:04:16
,html-keyboard-response,8,143966,0.0-8.0,,,,,15066.0,"
      <p>Great job! Now you'll continue onto doing the main task.
      You will have the opportunity to take brief breaks at various points.
      Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,MEM,MEM_0063,2022-12-08 22:04:16
True,fullscreen,9,148172,0.0-9.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0063,2022-12-08 22:04:16
,visual-trial,10,152781,0.0-10.0,,,,,1062.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_veggie/beetroot.jpg,7000.0,inanimate,drawing,527.0011452781117,True,,MEM,MEM_0063,2022-12-08 22:04:16
,visual-trial,11,157854,0.0-11.0,,,,,925.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_bird/turkey.jpg,7000.0,animate,photo,1134.8551121833186,False,,MEM,MEM_0063,2022-12-08 22:04:16
,visual-trial,12,163342,0.0-12.0,,,,,1351.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_fruit/coconut.jpg,7000.0,inanimate,photo,1124.9962834715034,True,,MEM,MEM_0063,2022-12-08 22:04:16
,visual-trial,13,168446,0.0-13.0,,,,,1032.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_insect/worm.jpg,7000.0,animate,drawing,1062.4660802305684,True,,MEM,MEM_0063,2022-12-08 22:04:16
,visual-trial,14,173742,0.0-14.0,,,,,1057.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_sea/killer whale.jpg,7000.0,animate,photo,1230.8558343911661,True,,MEM,MEM_0063,2022-12-08 22:04:16
,visual-trial,15,180462,0.0-15.0,,,,,2501.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_sea/eel.jpg,7000.0,animate,photo,1202.3417650511765,True,,MEM,MEM_0063,2022-12-08 22:04:16
,visual-trial,16,186317,0.0-16.0,,,,,1762.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_bird/owl.jpg,7000.0,animate,photo,1076.0997644941206,False,,MEM,MEM_0063,2022-12-08 22:04:16
,visual-trial,17,191661,0.0-17.0,,,,,1690.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_mammal/horse.jpg,7000.0,animate,drawing,627.2565657599055,True,,MEM,MEM_0063,2022-12-08 22:04:16
