success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,key,instruction,instruction_class,instruction_duration,prompt,object,object_duration,animacy,style,jitter,accurate,question_order,exp,subjectId,date
True,fullscreen,0,5293,0.0-0.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0060,2022-12-08 21:56:51
True,preload,1,53906,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,MEM,MEM_0060,2022-12-08 21:56:51
,html-keyboard-response,2,124424,0.0-2.0,,,,,70517.0,"
      <p>In this task, you will see a series of objects. On some trials, your job is to determine
      whether the object shown is a color photograph or a line drawing. On other trials, your job
      is to determine whether the object represented is animate or inanimate.

      <br><br>
      You will know which response to make depending on the initial display, which will say
      ""animate / inanimate"" or ""photo / drawing"".
      <br>
      <br>
      You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
      <br>
      Please respond as quickly as possible, and use your dominant hand to make your responses.
      <br><br>
      <img src=""/static/instructions_pics/visual_pic.png"" height=""300px"">
      <br>
      In the example in the top row, the correct response is animate (left arrow key). In the example in the bottom row, the correct response is photo (left arrow key).
      <br>
      <br>You will first do some practice trials. When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,MEM,MEM_0060,2022-12-08 21:56:51
,visual-trial,3,131025,0.0-3.0,,,,,2191.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_bird/heron.jpg,7000.0,animate,drawing,1398.148806649916,True,,MEM,MEM_0060,2022-12-08 21:56:51
,visual-trial,4,134891,0.0-4.0,,,,,2.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,7000.0,inanimate,photo,852.4106567176646,False,,MEM,MEM_0060,2022-12-08 21:56:51
,visual-trial,5,140480,0.0-5.0,,,,,1666.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,7000.0,inanimate,drawing,908.765654774494,True,,MEM,MEM_0060,2022-12-08 21:56:51
,visual-trial,6,145679,0.0-6.0,,,,,1622.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,7000.0,inanimate,photo,566.1509197599701,True,,MEM,MEM_0060,2022-12-08 21:56:51
,survey-multi-choice,7,157622,0.0-7.0-0.0,,,,,11940.0,,"{'Style': 'True', 'Animacy': 'True'}",,,,,,,,,,,,"[0, 1]",MEM,MEM_0060,2022-12-08 21:56:51
,html-keyboard-response,8,165405,0.0-8.0,,,,,7773.0,"
      <p>Great job! Now you'll continue onto doing the main task.
      You will have the opportunity to take brief breaks at various points.
      Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,MEM,MEM_0060,2022-12-08 21:56:51
True,fullscreen,9,170458,0.0-9.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0060,2022-12-08 21:56:51
