success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,key,instruction,instruction_class,instruction_duration,prompt,object,object_duration,animacy,style,jitter,accurate,question_order,exp,subjectId,date
True,fullscreen,0,2787,0.0-0.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0077,2022-12-08 22:26:45
True,preload,1,6091,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,MEM,MEM_0077,2022-12-08 22:26:45
,html-keyboard-response,2,33444,0.0-2.0,,,,,27352.0,"
      <p>In this task, you will see a series of objects. On some trials, your job is to determine
      whether the object shown is a color photograph or a line drawing. On other trials, your job
      is to determine whether the object represented is animate or inanimate.

      <br><br>
      You will know which response to make depending on the initial display, which will say
      ""animate / inanimate"" or ""photo / drawing"".
      <br>
      <br>
      You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
      <br>
      Please respond as quickly as possible, and use your dominant hand to make your responses.
      <br><br>
      <img src=""/static/instructions_pics/visual_pic.png"" height=""300px"">
      <br>
      In the example in the top row, the correct response is animate (left arrow key). In the example in the bottom row, the correct response is photo (left arrow key).
      <br>
      <br>You will first do some practice trials. When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,MEM,MEM_0077,2022-12-08 22:26:45
,visual-trial,3,40824,0.0-3.0,,,,,2951.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_bird/heron.jpg,7000.0,animate,drawing,1422.4476330765538,True,,MEM,MEM_0077,2022-12-08 22:26:45
,visual-trial,4,45908,0.0-4.0,,,,,1237.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,7000.0,inanimate,photo,840.7541279204662,False,,MEM,MEM_0077,2022-12-08 22:26:45
,visual-trial,5,51541,0.0-5.0,,,,,1727.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,7000.0,inanimate,drawing,899.7016983569958,True,,MEM,MEM_0077,2022-12-08 22:26:45
,visual-trial,6,57050,0.0-6.0,,,,,1524.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,7000.0,inanimate,photo,982.3059188512253,True,,MEM,MEM_0077,2022-12-08 22:26:45
,survey-multi-choice,7,65014,0.0-7.0-0.0,,,,,7962.0,,"{'Style': 'True', 'Animacy': 'True'}",,,,,,,,,,,,"[0, 1]",MEM,MEM_0077,2022-12-08 22:26:45
,html-keyboard-response,8,68137,0.0-8.0,,,,,3120.0,"
      <p>Great job! Now you'll continue onto doing the main task.
      You will have the opportunity to take brief breaks at various points.
      Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,MEM,MEM_0077,2022-12-08 22:26:45
True,fullscreen,9,71077,0.0-9.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0077,2022-12-08 22:26:45
,visual-trial,10,75949,0.0-10.0,,,,,1081.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_electronic/coffee maker.jpg,7000.0,inanimate,drawing,783.568422188644,True,,MEM,MEM_0077,2022-12-08 22:26:45
,visual-trial,11,80294,0.0-11.0,,,,,810.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_veggie/lettuce.jpg,7000.0,inanimate,photo,531.3763897425449,True,,MEM,MEM_0077,2022-12-08 22:26:45
