,img,instruction,block_n,animacy,style,img_name,verb
0,/static/object_pics/drawing_veggie/carrots.jpg,perceptual,0,inanimate,drawing,carrots.jpg,stick
1,/static/object_pics/picture_insect/cockroach.jpg,perceptual,0,animate,photo,cockroach.jpg,pump
2,/static/object_pics/picture_sea/eel.jpg,perceptual,0,animate,photo,eel.jpg,shake
3,/static/object_pics/drawing_clothe/football sneaker.jpg,semantic,0,inanimate,drawing,football sneaker.jpg,break
4,/static/object_pics/drawing_veggie/beetroot.jpg,semantic,0,inanimate,drawing,beetroot.jpg,volley
5,/static/object_pics/drawing_fruit/watermelon.jpg,semantic,0,inanimate,drawing,watermelon.jpg,lay
6,/static/object_pics/drawing_insect/mosquito.jpg,perceptual,0,animate,drawing,mosquito.jpg,chain
7,/static/object_pics/picture_bird/turkey.jpg,semantic,0,animate,photo,turkey.jpg,hit
8,/static/object_pics/picture_sea/eel.jpg,semantic,0,animate,photo,eel.jpg,shake
9,/static/object_pics/drawing_clothe/football sneaker.jpg,perceptual,0,inanimate,drawing,football sneaker.jpg,break
10,/static/object_pics/picture_insect/cockroach.jpg,semantic,0,animate,photo,cockroach.jpg,pump
11,/static/object_pics/drawing_insect/mosquito.jpg,semantic,0,animate,drawing,mosquito.jpg,chain
12,/static/object_pics/drawing_veggie/carrots.jpg,semantic,0,inanimate,drawing,carrots.jpg,stick
13,/static/object_pics/drawing_fruit/watermelon.jpg,perceptual,0,inanimate,drawing,watermelon.jpg,lay
14,/static/object_pics/picture_bird/turkey.jpg,perceptual,0,animate,photo,turkey.jpg,hit
15,/static/object_pics/drawing_veggie/beetroot.jpg,perceptual,0,inanimate,drawing,beetroot.jpg,volley
16,/static/object_pics/drawing_veggie/potato.jpg,semantic,1,inanimate,drawing,potato.jpg,squeeze
17,/static/object_pics/drawing_sea/seahorse.jpg,semantic,1,animate,drawing,seahorse.jpg,knock
18,/static/object_pics/drawing_insect/grasshopper.jpg,perceptual,1,animate,drawing,grasshopper.jpg,pat
19,/static/object_pics/drawing_fruit/apple.jpg,perceptual,1,inanimate,drawing,apple.jpg,reduce
20,/static/object_pics/picture_fruit/banana.jpg,perceptual,1,inanimate,photo,banana.jpg,guide
21,/static/object_pics/picture_bird/penguin.jpg,semantic,1,animate,photo,penguin.jpg,peek
22,/static/object_pics/picture_sea/piranha.jpg,perceptual,1,animate,photo,piranha.jpg,hop
23,/static/object_pics/drawing_bird/toucan.jpg,semantic,1,animate,drawing,toucan.jpg,detect
24,/static/object_pics/picture_fruit/banana.jpg,semantic,1,inanimate,photo,banana.jpg,guide
25,/static/object_pics/drawing_insect/grasshopper.jpg,semantic,1,animate,drawing,grasshopper.jpg,pat
26,/static/object_pics/drawing_veggie/potato.jpg,perceptual,1,inanimate,drawing,potato.jpg,squeeze
27,/static/object_pics/picture_sea/piranha.jpg,semantic,1,animate,photo,piranha.jpg,hop
28,/static/object_pics/drawing_sea/seahorse.jpg,perceptual,1,animate,drawing,seahorse.jpg,knock
29,/static/object_pics/picture_bird/penguin.jpg,perceptual,1,animate,photo,penguin.jpg,peek
30,/static/object_pics/drawing_bird/toucan.jpg,perceptual,1,animate,drawing,toucan.jpg,detect
31,/static/object_pics/drawing_fruit/apple.jpg,semantic,1,inanimate,drawing,apple.jpg,reduce
32,/static/object_pics/picture_electronic/satellite dish.jpg,semantic,2,inanimate,photo,satellite dish.jpg,destroy
33,/static/object_pics/picture_electronic/handmixer.jpg,semantic,2,inanimate,photo,handmixer.jpg,kick
34,/static/object_pics/picture_clothe/hoodie.jpg,semantic,2,inanimate,photo,hoodie.jpg,grind
35,/static/object_pics/drawing_clothe/bowtie.jpg,perceptual,2,inanimate,drawing,bowtie.jpg,swim
