,img,instruction,block_n,animacy,style,img_name,verb
0,/static/object_pics/drawing_bird/vulture.jpg,semantic,0,animate,drawing,vulture.jpg,agitate
1,/static/object_pics/drawing_mammal/bison.jpg,perceptual,0,animate,drawing,bison.jpg,jump
2,/static/object_pics/drawing_bird/duck.jpg,semantic,0,animate,drawing,duck.jpg,crush
3,/static/object_pics/picture_bird/owl.jpg,perceptual,0,animate,photo,owl.jpg,remove
4,/static/object_pics/drawing_electronic/satellite dish.jpg,perceptual,0,inanimate,drawing,satellite dish.jpg,boot
5,/static/object_pics/picture_insect/fly.jpg,semantic,0,animate,photo,fly.jpg,bury
6,/static/object_pics/drawing_electronic/gamepad.jpg,perceptual,0,inanimate,drawing,gamepad.jpg,melt
7,/static/object_pics/drawing_bird/hen.jpg,semantic,0,animate,drawing,hen.jpg,browse
8,/static/object_pics/picture_insect/fly.jpg,perceptual,0,animate,photo,fly.jpg,bury
9,/static/object_pics/drawing_bird/duck.jpg,perceptual,0,animate,drawing,duck.jpg,crush
10,/static/object_pics/drawing_bird/vulture.jpg,perceptual,0,animate,drawing,vulture.jpg,agitate
11,/static/object_pics/drawing_electronic/gamepad.jpg,semantic,0,inanimate,drawing,gamepad.jpg,melt
12,/static/object_pics/drawing_mammal/bison.jpg,semantic,0,animate,drawing,bison.jpg,jump
13,/static/object_pics/picture_bird/owl.jpg,semantic,0,animate,photo,owl.jpg,remove
14,/static/object_pics/drawing_electronic/satellite dish.jpg,semantic,0,inanimate,drawing,satellite dish.jpg,boot
15,/static/object_pics/drawing_bird/hen.jpg,perceptual,0,animate,drawing,hen.jpg,browse
16,/static/object_pics/drawing_clothe/football sneaker.jpg,semantic,1,inanimate,drawing,football sneaker.jpg,grab
17,/static/object_pics/picture_mammal/giraffe.jpg,perceptual,1,animate,photo,giraffe.jpg,connect
18,/static/object_pics/picture_electronic/toaster.jpg,perceptual,1,inanimate,photo,toaster.jpg,assemble
19,/static/object_pics/picture_electronic/keyboard.jpg,semantic,1,inanimate,photo,keyboard.jpg,walk
