success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,key,cue,associate,cue_duration,associate_duration,initial_jitter,cue_asso_jitter,animacy,style,instruction,instruction_text,prompt,instruction_duration,accurate,question_order,numbers,trial_accuracies,mean_accuracy,exp,subjectId,date
True,fullscreen,0,6479,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
True,preload,1,15676,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,html-keyboard-response,2,83930,0.0-2.0,,,,,68253.0,"
    <p>In this part of the study, you will first see an action verb. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    This may include questions regarding the color or shape of the objects.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""200px"">
    <br>
    Now, you will first do some practice trials. Press the space bar when you are ready to continue.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,encoding-trial,3,93575,0.0-3.0,,,,,6017.0,,, ,modify,/static/for_instructions/object_pics/drawing_bird/heron.jpg,2000.0,7000.0,503.43466544275793,1104.6551365384476,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,encoding-trial,4,102348,0.0-4.0,,,,,3968.0,,, ,sculpt,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,2000.0,7000.0,1466.92996362117,1324.055760966892,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,encoding-trial,5,110506,0.0-5.0,,,,,4101.0,,, ,construct,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,2000.0,7000.0,559.0462881961249,1475.3678014260713,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,encoding-trial,6,117954,0.0-6.0,,,,,3326.0,,, ,integrate,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,2000.0,7000.0,1478.6908683147103,625.2461835591396,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,html-keyboard-response,7,230195,0.0-7.0,,,,,112241.0,"
    <p>Great job!
    <br>
    Now you will see an action verb that you were shown earlier. Your job is to bring back to mind the object
    that you imagined being involved with this word and to report information about the object's semantic or visual features.
    <br>
    A question screen presented before the action verb will indicate which feature you are to report on:
    <br>
    ""animate vs. inanimate"" or ""photo vs. drawing"".
    <br>
    Press the left arrow button for animate/photo or the right arrow button for inanimate/drawing.
    <br>
    If you forgot the object associated with the verb, press the down arrow.
    Please respond as quickly as possible, and use your dominant hand to make your responses.
    <br>
    <img src=""/static/instructions_pics/retrieval_pic.png"" height=""350px"">
    <br>When you read the first set of instructions, you may have created a vivid mental image involving the word ""find"" and a drawing of a dog.
    In these examples trials shown above, the correct response for the top row is ""animate"", whereas the correct response for the bottom row is ""drawing"".
    <br>When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,retrieval-trial,8,237012,0.0-8.0,,,,,2872.0,,,arrowright,modify,/static/for_instructions/object_pics/drawing_bird/heron.jpg,10000.0,,,,null,null,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,retrieval-trial,9,240857,0.0-9.0,,,,,36.0,,,arrowleft,sculpt,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,10000.0,,,,null,null,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,retrieval-trial,10,245513,0.0-10.0,,,,,238.0,,,arrowright,construct,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,10000.0,,,,null,null,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,retrieval-trial,11,254739,0.0-11.0,,,,,4960.0,,,arrowleft,integrate,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,10000.0,,,,null,null,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,survey-multi-choice,12,638135,0.0-12.0-0.0,,,,,383395.0,,"{'Encoding': 'True', 'EncodingKeys': 'False', 'Retrieval': 'False', 'RetrievalKeys': 'False'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0032,2022-12-08 05:31:47
,survey-multi-choice,13,669457,0.0-12.1-0.1,,,,,28193.0,,"{'Encoding': 'True', 'EncodingKeys': 'False', 'Retrieval': 'False', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0032,2022-12-08 05:31:47
,survey-multi-choice,14,690324,0.0-12.2-0.2,,,,,18922.0,,"{'Encoding': 'True', 'EncodingKeys': 'False', 'Retrieval': 'True', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0032,2022-12-08 05:31:47
,survey-multi-choice,15,720185,0.0-12.3-0.3,,,,,27225.0,,"{'Encoding': 'True', 'EncodingKeys': 'False', 'Retrieval': 'True', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0032,2022-12-08 05:31:47
,survey-multi-choice,16,733643,0.0-12.4-0.4,,,,,11665.0,,"{'Encoding': 'True', 'EncodingKeys': 'True', 'Retrieval': 'True', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0032,2022-12-08 05:31:47
,html-keyboard-response,17,771503,0.0-13.0,,,,,37858.0,"
    <p>Great job! Now you'll continue onto doing the main tasks.
    You will have the opportunity to take brief breaks at various points.
    The instructions will be displayed again before the start of each task, in case you need a refresher.
    Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
True,fullscreen,18,776931,0.0-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,html-keyboard-response,19,827211,0.0-15.0,,,,,50279.0,"
    <p>As you practiced earlier, you will first see an action verb in this part of the study. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""350px"">
    <br>
    Press the space bar when you are ready to start the task.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,encoding-trial,20,834975,0.0-16.0,,,,,3187.0,,, ,tie,/static/object_pics/drawing_electronic/radio.jpg,2000.0,7000.0,1143.9455167799772,1421.0375022831317,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,encoding-trial,21,842843,0.0-17.0,,,,,3696.0,,, ,grind,/static/object_pics/drawing_bird/owl.jpg,2000.0,7000.0,1106.0372387108118,1049.1311533837625,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,encoding-trial,22,851603,0.0-18.0,,,,,4479.0,,, ,bring,/static/object_pics/picture_veggie/onions.jpg,2000.0,7000.0,1427.6291107808584,836.4957830897641,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
,encoding-trial,23,861386,0.0-19.0,,,,,5526.0,,, ,hammer,/static/object_pics/picture_electronic/microphone.jpg,2000.0,7000.0,1100.4393263350946,1128.265075049847,,,,,,,,,,,,MEM,MEM_0032,2022-12-08 05:31:47
